duplicate_customer_id,original_customer_id
DUP1000,LC101852
DUP1001,LC155929
DUP1002,LC135317
DUP1003,LC185770
DUP1004,LC155671
DUP1005,LC185419
DUP1006,LC128335
DUP1007,LC101323
DUP1008,LC185247
DUP1009,LC121839
DUP1010,LC120722
DUP1011,LC100565
DUP1012,LC105326
DUP1013,LC133480
DUP1014,LC131613
DUP1015,LC163553
DUP1016,LC125674
DUP1017,LC151751
DUP1018,LC194947
DUP1019,LC180058
DUP1020,LC146073
DUP1021,LC179295
DUP1022,LC182046
DUP1023,LC157234
DUP1024,LC172284
DUP1025,LC172099
DUP1026,LC155878
DUP1027,LC123660
DUP1028,LC148924
DUP1029,LC182224
DUP1030,LC149515
DUP1031,LC132314
DUP1032,LC136047
DUP1033,LC117988
DUP1034,LC170014
DUP1035,LC134875
DUP1036,LC147528
DUP1037,LC175783
DUP1038,LC112675
DUP1039,LC146856
DUP1040,LC185588
DUP1041,LC119906
DUP1042,LC165366
DUP1043,LC161483
DUP1044,LC182814
DUP1045,LC189230
DUP1046,LC179303
DUP1047,LC162760
DUP1048,LC141268
DUP1049,LC194964
DUP1050,LC112003
DUP1051,LC103175
DUP1052,LC156565
DUP1053,LC160837
DUP1054,LC179249
DUP1055,LC176890
DUP1056,LC131367
DUP1057,LC158567
DUP1058,LC162935
DUP1059,LC174996
DUP1060,LC173037
DUP1061,LC136591
DUP1062,LC136061
DUP1063,LC105513
DUP1064,LC123094
DUP1065,LC136105
DUP1066,LC155980
DUP1067,LC183453
DUP1068,LC191629
DUP1069,LC103542
DUP1070,LC148918
DUP1071,LC165987
DUP1072,LC141084
DUP1073,LC179801
DUP1074,LC162908
DUP1075,LC142285
DUP1076,LC130827
DUP1077,LC183349
DUP1078,LC178467
DUP1079,LC126489
DUP1080,LC181312
DUP1081,LC167412
DUP1082,LC160181
DUP1083,LC177098
DUP1084,LC146193
DUP1085,LC150180
DUP1086,LC156238
DUP1087,LC129792
DUP1088,LC180680
DUP1089,LC192091
DUP1090,LC138968
DUP1091,LC171166
DUP1092,LC188630
DUP1093,LC102211
DUP1094,LC162934
DUP1095,LC155532
DUP1096,LC169448
DUP1097,LC136809
DUP1098,LC102323
DUP1099,LC171468
DUP1100,LC141212
DUP1101,LC171195
DUP1102,LC195230
DUP1103,LC113213
DUP1104,LC183224
DUP1105,LC171613
DUP1106,LC163536
DUP1107,LC100494
DUP1108,LC192517
DUP1109,LC181765
DUP1110,LC113123
DUP1111,LC106531
DUP1112,LC111364
DUP1113,LC109780
DUP1114,LC199435
DUP1115,LC140985
DUP1116,LC116593
DUP1117,LC169694
DUP1118,LC102671
DUP1119,LC114367
DUP1120,LC137679
DUP1121,LC108237
DUP1122,LC116636
DUP1123,LC168150
DUP1124,LC117114
DUP1125,LC156652
DUP1126,LC143786
DUP1127,LC103594
DUP1128,LC155595
DUP1129,LC155377
DUP1130,LC191533
DUP1131,LC141291
DUP1132,LC137356
DUP1133,LC128317
DUP1134,LC166979
DUP1135,LC144247
DUP1136,LC132976
DUP1137,LC108246
DUP1138,LC187860
DUP1139,LC168126
DUP1140,LC120698
DUP1141,LC147660
DUP1142,LC184418
DUP1143,LC148908
DUP1144,LC193880
DUP1145,LC177440
DUP1146,LC155153
DUP1147,LC124291
DUP1148,LC181796
DUP1149,LC173369
DUP1150,LC164474
DUP1151,LC190200
DUP1152,LC106054
DUP1153,LC127297
DUP1154,LC119755
DUP1155,LC198404
DUP1156,LC185092
DUP1157,LC105039
DUP1158,LC183558
DUP1159,LC197454
DUP1160,LC132895
DUP1161,LC199311
DUP1162,LC133512
DUP1163,LC170194
DUP1164,LC172916
DUP1165,LC120167
DUP1166,LC175576
DUP1167,LC171609
DUP1168,LC165482
DUP1169,LC181438
DUP1170,LC152231
DUP1171,LC152173
DUP1172,LC153100
DUP1173,LC150046
DUP1174,LC160704
DUP1175,LC171530
DUP1176,LC194364
DUP1177,LC145506
DUP1178,LC191571
DUP1179,LC100460
DUP1180,LC146382
DUP1181,LC136157
DUP1182,LC149610
DUP1183,LC172090
DUP1184,LC151189
DUP1185,LC148890
DUP1186,LC138326
DUP1187,LC135718
DUP1188,LC188078
DUP1189,LC129613
DUP1190,LC171051
DUP1191,LC108865
DUP1192,LC134658
DUP1193,LC145861
DUP1194,LC156630
DUP1195,LC137580
DUP1196,LC172617
DUP1197,LC193564
DUP1198,LC153020
DUP1199,LC125918
DUP1200,LC122591
DUP1201,LC141710
DUP1202,LC102886
DUP1203,LC121206
DUP1204,LC103149
DUP1205,LC165941
DUP1206,LC124947
DUP1207,LC114453
DUP1208,LC168616
DUP1209,LC192599
DUP1210,LC126234
DUP1211,LC194631
DUP1212,LC171922
DUP1213,LC184157
DUP1214,LC163415
DUP1215,LC198005
DUP1216,LC117019
DUP1217,LC181035
DUP1218,LC192167
DUP1219,LC106472
DUP1220,LC116653
DUP1221,LC190408
DUP1222,LC186918
DUP1223,LC168023
DUP1224,LC199202
DUP1225,LC140301
DUP1226,LC133703
DUP1227,LC144818
DUP1228,LC138874
DUP1229,LC175252
DUP1230,LC132577
DUP1231,LC109485
DUP1232,LC149242
DUP1233,LC162623
DUP1234,LC188923
DUP1235,LC150567
DUP1236,LC132499
DUP1237,LC182558
DUP1238,LC147638
DUP1239,LC126722
DUP1240,LC177727
DUP1241,LC194195
DUP1242,LC181421
DUP1243,LC119489
DUP1244,LC135362
DUP1245,LC102184
DUP1246,LC124181
DUP1247,LC180143
DUP1248,LC111344
DUP1249,LC147642
DUP1250,LC112238
DUP1251,LC146710
DUP1252,LC151723
DUP1253,LC131957
DUP1254,LC130300
DUP1255,LC120154
DUP1256,LC120499
DUP1257,LC187447
DUP1258,LC175118
DUP1259,LC120054
DUP1260,LC165949
DUP1261,LC117925
DUP1262,LC104032
DUP1263,LC121094
DUP1264,LC155742
DUP1265,LC101914
DUP1266,LC156063
DUP1267,LC185354
DUP1268,LC161848
DUP1269,LC174050
DUP1270,LC143323
DUP1271,LC198277
DUP1272,LC118499
DUP1273,LC132013
DUP1274,LC164045
DUP1275,LC113803
DUP1276,LC184912
DUP1277,LC173536
DUP1278,LC151149
DUP1279,LC139233
DUP1280,LC152595
DUP1281,LC150702
DUP1282,LC117460
DUP1283,LC152333
DUP1284,LC125260
DUP1285,LC144834
DUP1286,LC117535
DUP1287,LC158751
DUP1288,LC167053
DUP1289,LC176855
DUP1290,LC179517
DUP1291,LC177862
DUP1292,LC133783
DUP1293,LC154708
DUP1294,LC119460
DUP1295,LC134067
DUP1296,LC164959
DUP1297,LC196179
DUP1298,LC146339
DUP1299,LC100077
DUP1300,LC135284
DUP1301,LC154171
DUP1302,LC199678
DUP1303,LC156531
DUP1304,LC166862
DUP1305,LC131916
DUP1306,LC138922
DUP1307,LC180808
DUP1308,LC123360
DUP1309,LC135790
DUP1310,LC191010
DUP1311,LC112161
DUP1312,LC107849
DUP1313,LC152352
DUP1314,LC109806
DUP1315,LC117572
DUP1316,LC160719
DUP1317,LC119730
DUP1318,LC118327
DUP1319,LC174905
DUP1320,LC101934
DUP1321,LC182855
DUP1322,LC195219
DUP1323,LC197786
DUP1324,LC170070
DUP1325,LC196485
DUP1326,LC195728
DUP1327,LC117907
DUP1328,LC129612
DUP1329,LC188701
DUP1330,LC110595
DUP1331,LC168584
DUP1332,LC147969
DUP1333,LC195638
DUP1334,LC119927
DUP1335,LC136396
DUP1336,LC127934
DUP1337,LC103644
DUP1338,LC161766
DUP1339,LC160358
DUP1340,LC193509
DUP1341,LC166067
DUP1342,LC102704
DUP1343,LC109734
DUP1344,LC154638
DUP1345,LC100298
DUP1346,LC113036
DUP1347,LC180563
DUP1348,LC187799
DUP1349,LC190099
DUP1350,LC160658
DUP1351,LC155385
DUP1352,LC131382
DUP1353,LC101747
DUP1354,LC162135
DUP1355,LC179355
DUP1356,LC106961
DUP1357,LC174453
DUP1358,LC152580
DUP1359,LC130402
DUP1360,LC167194
DUP1361,LC172242
DUP1362,LC190298
DUP1363,LC164621
DUP1364,LC110329
DUP1365,LC124239
DUP1366,LC161321
DUP1367,LC177973
DUP1368,LC195163
DUP1369,LC126150
DUP1370,LC184405
DUP1371,LC107035
DUP1372,LC139729
DUP1373,LC178779
DUP1374,LC162856
DUP1375,LC188542
DUP1376,LC119691
DUP1377,LC113245
DUP1378,LC152234
DUP1379,LC193677
DUP1380,LC105491
DUP1381,LC162381
DUP1382,LC127145
DUP1383,LC104681
DUP1384,LC139451
DUP1385,LC172915
DUP1386,LC116961
DUP1387,LC118395
DUP1388,LC111780
DUP1389,LC118702
DUP1390,LC198102
DUP1391,LC126798
DUP1392,LC141820
DUP1393,LC191776
DUP1394,LC100541
DUP1395,LC184599
DUP1396,LC194848
DUP1397,LC102529
DUP1398,LC197306
DUP1399,LC192049
DUP1400,LC156330
DUP1401,LC196781
DUP1402,LC152370
DUP1403,LC105575
DUP1404,LC194503
DUP1405,LC119009
DUP1406,LC199856
DUP1407,LC126685
DUP1408,LC184149
DUP1409,LC179086
DUP1410,LC134853
DUP1411,LC196019
DUP1412,LC189359
DUP1413,LC197867
DUP1414,LC151979
DUP1415,LC128155
DUP1416,LC126766
DUP1417,LC136264
DUP1418,LC186467
DUP1419,LC109638
DUP1420,LC131845
DUP1421,LC144478
DUP1422,LC195027
DUP1423,LC139367
DUP1424,LC156826
DUP1425,LC113595
DUP1426,LC167315
DUP1427,LC193108
DUP1428,LC136405
DUP1429,LC124091
DUP1430,LC195289
DUP1431,LC107145
DUP1432,LC194034
DUP1433,LC109174
DUP1434,LC126520
DUP1435,LC176583
DUP1436,LC182234
DUP1437,LC141264
DUP1438,LC117111
DUP1439,LC101773
DUP1440,LC134673
DUP1441,LC143007
DUP1442,LC155050
DUP1443,LC164994
DUP1444,LC161418
DUP1445,LC128026
DUP1446,LC115216
DUP1447,LC132563
DUP1448,LC128803
DUP1449,LC128782
DUP1450,LC130095
DUP1451,LC164494
DUP1452,LC132772
DUP1453,LC127431
DUP1454,LC121326
DUP1455,LC196138
DUP1456,LC148425
DUP1457,LC188545
DUP1458,LC161298
DUP1459,LC113180
DUP1460,LC107447
DUP1461,LC188645
DUP1462,LC159313
DUP1463,LC107433
DUP1464,LC106569
DUP1465,LC193337
DUP1466,LC102809
DUP1467,LC192072
DUP1468,LC194589
DUP1469,LC141319
DUP1470,LC171621
DUP1471,LC133003
DUP1472,LC136846
DUP1473,LC156323
DUP1474,LC117149
DUP1475,LC110132
DUP1476,LC189764
DUP1477,LC117774
DUP1478,LC139446
DUP1479,LC163971
DUP1480,LC162210
DUP1481,LC162582
DUP1482,LC114818
DUP1483,LC125040
DUP1484,LC123773
DUP1485,LC142624
DUP1486,LC134827
DUP1487,LC114829
DUP1488,LC177693
DUP1489,LC185267
DUP1490,LC157426
DUP1491,LC184007
DUP1492,LC185147
DUP1493,LC194085
DUP1494,LC183361
DUP1495,LC190892
DUP1496,LC158215
DUP1497,LC110674
DUP1498,LC105794
DUP1499,LC113994
DUP1500,LC140128
DUP1501,LC184012
DUP1502,LC151321
DUP1503,LC195531
DUP1504,LC185123
DUP1505,LC134071
DUP1506,LC165556
DUP1507,LC140846
DUP1508,LC190034
DUP1509,LC149784
DUP1510,LC177563
DUP1511,LC112805
DUP1512,LC193506
DUP1513,LC120848
DUP1514,LC117628
DUP1515,LC152014
DUP1516,LC181911
DUP1517,LC195615
DUP1518,LC188361
DUP1519,LC124972
DUP1520,LC179716
DUP1521,LC108170
DUP1522,LC168885
DUP1523,LC171573
DUP1524,LC127941
DUP1525,LC190496
DUP1526,LC185859
DUP1527,LC105252
DUP1528,LC137747
DUP1529,LC125931
DUP1530,LC134796
DUP1531,LC119194
DUP1532,LC186497
DUP1533,LC104330
DUP1534,LC143145
DUP1535,LC197714
DUP1536,LC159764
DUP1537,LC170839
DUP1538,LC136794
DUP1539,LC135663
DUP1540,LC139878
DUP1541,LC168666
DUP1542,LC134774
DUP1543,LC137746
DUP1544,LC164563
DUP1545,LC180589
DUP1546,LC104358
DUP1547,LC144423
DUP1548,LC147980
DUP1549,LC142568
DUP1550,LC108766
DUP1551,LC170443
DUP1552,LC119570
DUP1553,LC162893
DUP1554,LC117199
DUP1555,LC170124
DUP1556,LC103294
DUP1557,LC199393
DUP1558,LC148387
DUP1559,LC150471
DUP1560,LC140422
DUP1561,LC194973
DUP1562,LC197813
DUP1563,LC161663
DUP1564,LC152867
DUP1565,LC111144
DUP1566,LC183609
DUP1567,LC100787
DUP1568,LC106275
DUP1569,LC199379
DUP1570,LC129617
DUP1571,LC105912
DUP1572,LC163597
DUP1573,LC179126
DUP1574,LC168948
DUP1575,LC102621
DUP1576,LC141301
DUP1577,LC139894
DUP1578,LC161621
DUP1579,LC138999
DUP1580,LC183500
DUP1581,LC192365
DUP1582,LC112338
DUP1583,LC143358
DUP1584,LC109412
DUP1585,LC136964
DUP1586,LC139156
DUP1587,LC177387
DUP1588,LC138425
